,Code,Entity
0,ALA,Aland Islands
1,ASM,American Samoa
2,AND,Andorra
3,AIA,Anguilla
4,ABW,Aruba
5,BHR,Bahrain
6,BTN,Bhutan
7,BES,"Bonaire, Sint Eustatius and Saba"
8,BVT,Bouvet Island
9,IOT,British Indian Ocean Territory
10,BDI,Burundi
11,CYM,Cayman Islands
12,CXR,Christmas Island
13,CCK,Cocos (Keeling) Islands
14,COM,Comoros
15,COD,Democratic Republic of the Congo
16,COK,Cook Islands
17,CUW,Curacao
18,GNQ,Equatorial Guinea
19,ERI,Eritrea
20,FLK,Falkland Islands (Malvinas)
21,FRO,Faroe Islands
22,GUF,French Guiana
23,ATF,French Southern Territories
24,GIB,Gibraltar
25,GRL,Greenland
26,GLP,Guadeloupe
27,GUM,Guam
28,GGY,Guernsey
29,HMD,Heard Island and McDonald Islands
30,VAT,Holy See
31,IMN,Isle of Man
32,JEY,Jersey
33,LBY,Libya
34,LIE,Liechtenstein
35,MHL,Marshall Islands
36,MTQ,Martinique
37,MYT,Mayotte
38,FSM,Micronesia (Federated States of)
39,MCO,Monaco
40,MSR,Montserrat
41,NRU,Nauru
42,NIU,Niue
43,NFK,Norfolk Island
44,MNP,Northern Mariana Islands
45,PLW,Palau
46,PSE,"Palestine, State of"
47,PNG,Papua New Guinea
48,PCN,Pitcairn
49,PRI,Puerto Rico
50,QAT,Qatar
51,REU,R̩union
52,BLM,Saint Barth̩lemy
53,SHN,"Saint Helena, Ascension and Tristan da Cunha"
54,MAF,Saint Martin (French part)
55,SPM,Saint Pierre and Miquelon
56,SMR,San Marino
57,SYC,Seychelles
58,SXM,Sint Maarten (Dutch part)
59,SOM,Somalia
60,SGS,South Georgia and the South Sandwich Islands
61,SSD,South Sudan
62,SJM,Svalbard and Jan Mayen
63,TKL,Tokelau
64,TON,Tonga
65,TCA,Turks and Caicos Islands
66,TUV,Tuvalu
67,UMI,United States Minor Outlying Islands
68,VGB,Virgin Islands (British)
69,VIR,Virgin Islands (U.S.)
70,WLF,Wallis and Futuna
71,ESH,Western Sahara
